SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;Certification
302;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;
303;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;
304;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;
305;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;
306;P23-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;SYNCROPLANTECH NORTH AMERICA;SYNCROPLANTECH NORTH AMERICA;USA;2023-01;2023-01;PE-PP;45;20;
309;P23-004;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;
310;P23-004;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;
311;P23-004;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;
316;P24-005;A-XS-AC;A-45-XS-AC-ST-0-0-2-CE-400/50Hz-NOAB;PLASTOTECNICA;PLASTOTECNICA;;2024-01;2024-01;PE-PP;45;20;
293;P23-015;A-XS-AC;A-45-XS-AC-TB-0-0-0-2-CE-400-50Hz-3N-0;BISCHOF + KLEIN SE&CO.KG;BISCHOF + KLEIN SE&CO.KG;;2023-01;2023-01;PE-PP;45;20;
283;P23-017;A-XS-AC;A-45-XS-AC-TB-0-0-MSC-2-CE-400-50Hz-3N-0;TECHNOLOGIA JSC;TECHNOLOGIA JSC;;2023-01;2023-01;PE-PP;45;20;
351;P24-030;A-XS-AC;A-45-XS-AC-TB-0-2-CE-400-50Hz-3N-ABB;RAJOO;RAJOO;;2024-01;2024-01;PE-PP;45;20;
154;P21-038;A-XS-AC;A-45-XS-AC-TB-0-B&R-CE-4003N-NOSR;Syncplas / AVPack Plastic;Syncplas / AVPack Plastic;;2021-01;2021-01;PE-PP;45;20;
158;P21-041;A-XS-AC;A-45-XS-AC-TB-0-B&R-CE-4003N-NOSR;Syncplas / Nova pac (ex Prime Packaging);Syncplas / Nova pac (ex Prime Packaging);;2021-01;2021-01;PE-PP;45;20;
210;P22-026;A-XS-AC;A-45-XS-AC-TB-0-B&R-CE-4003N-NOSR;Plastigaur;Plastigaur;;2022-01;2022-01;PE-PP;45;20;
260;P22-063;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-AB;DANAFILMS;DANAFILMS;;2023-01;2023-01;PE-PP;45;20;
261;P22-063;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-AB;DANAFILMS;DANAFILMS;;2023-01;2023-01;PE-PP;45;20;
318;P24-006;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-AB;ACZ SAS;ACZ SAS;;2024-01;2024-01;PE-PP;45;20;
319;P24-007;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-AB;ACZ SAS;ACZ SAS;;2024-01;2024-01;PE-PP;45;20;
216;P22-024;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-SR;BKC ;BKC ;;2022-01;2022-01;PE-PP;45;20;
217;P22-024;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-SR;BKC;BKC;;2022-01;2022-01;PE-PP;45;20;
218;P22-024;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-SR;BKC;BKC;;2022-01;2022-01;PE-PP;45;20;
238;P22-043;A-XS-AC;A-45-XS-AC-TB-0-CE-4003N-SR;ACZ-BARBIER;ACZ-BARBIER;;2022-01;2022-01;PE-PP;45;20;
300;P23-032;A-XS-AC;A-45-XS-AC-TB-AS-0-MSC-2-CE-400-50Hz-3N-0;LAMP Srl;LAMP Srl;;2023-01;2023-01;PE-PP;45;20;
313;P23-037;A-XS-AC;A-45-XS-AC-TB-AS-0-MSC-2-CE-400-50Hz-3N-0;EASYPACK;EASYPACK;;2024-01;2024-01;PE-PP;45;20;
170;P21-043;A-XS-AC;A-45-XS-AC-TB-HF-0-B&R-CE-4003N-NOSR;Radiant/Jaykal/Quantum;Radiant/Jaykal/Quantum;;2021-01;2021-01;PE-PP;45;20;
253;P22-058;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;UKE / Berry bpi - Bromborough;UKE / Berry bpi - Bromborough;;2023-01;2023-01;PE-PP;45;20;
254;P22-040;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;SAIGAL PACKAGES INDUSTRIES (PVT);SAIGAL PACKAGES INDUSTRIES (PVT);;2023-01;2023-01;PE-PP;45;20;
255;P22-057;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;AP PACKAGING;AP PACKAGING;;2023-01;2023-01;PE-PP;45;20;
266;P23-008;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;NOVPLASTA s.r.o.;NOVPLASTA s.r.o.;;2023-01;2023-01;PE-PP;45;20;
267;P23-012;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;TRIOWORLD SMALANDSSTENAR AB;TRIOWORLD SMALANDSSTENAR AB;;2023-01;2023-01;PE-PP;45;20;
274;P22-056;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;ZOCCHI;ZOCCHI;;2023-01;2023-01;PE-PP;45;20;
276;P22-060;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;PLASMAC SRL;PLASMAC SRL;;2023-01;2023-01;PE-PP;45;20;
277;P23-010;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;UKE / Berry bpi - Bromborough;UKE / Berry bpi - Bromborough;;2023-01;2023-01;PE-PP;45;20;
278;P23-010;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;UKE / Berry bpi - Bromborough;UKE / Berry bpi - Bromborough;;2023-01;2023-01;PE-PP;45;20;
279;P23-010;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;UKE / Berry bpi - Bromborough;UKE / Berry bpi - Bromborough;;2023-01;2023-01;PE-PP;45;20;
280;P23-010;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;UKE / Berry bpi - Bromborough;UKE / Berry bpi - Bromborough;;2023-01;2023-01;PE-PP;45;20;
291;P23-020;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;POLIFILM NEUKIRCHEN;POLIFILM NEUKIRCHEN;;2023-01;2023-01;PE-PP;45;20;
294;P23-026;A-XS-AC;A-45-XS-AC-TB-RF-0-MSC-2-CE-400-50Hz-3N-0;UKE / Berry bpi Winsford;UKE / Berry bpi Winsford;;2023-01;2023-01;PE-PP;45;20;
320;P24-010;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-0;BISCHOF + KLEIN SE&CO.KG;BISCHOF + KLEIN SE&CO.KG;;2024-01;2024-01;PE-PP;45;20;
321;P24-011;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-0;SYNCRO JAPAN CO.,LTD;SYNCRO JAPAN CO.,LTD;;2024-01;2024-01;PE-PP;45;20;
323;P24-017;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-0;DMX CO,   LTD;DMX CO,   LTD;;2024-01;2024-01;PE-PP;45;20;
326;P24-018;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-0;UKE - BERRY B;UKE - BERRY B;;2024-01;2024-01;PE-PP;45;20;
327;P24-018;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-0;UKE - BERRY B;UKE - BERRY B;;2024-01;2024-01;PE-PP;45;20;
336;P24-025;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-0;AMIPLAST;AMIPLAST;;2024-01;2024-01;PE-PP;45;20;
354;P24-033;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-AB;UK EXTRUSION - BERRY WINSFORD;UK EXTRUSION - BERRY WINSFORD;;2024-01;2024-01;PE-PP;45;20;
350;P24-029;A-XS-AC;A-45-XS-AC-TB-RF-AS-0-MSC-2-CE-400-50Hz-3N-ABB;BISCHOF + KLEIN;BISCHOF + KLEIN;;2024-01;2024-01;PE-PP;45;20;
237;P22-039;A-XS-AC;A-45-XS-AC-TB-RF-HF-MSC-2-CE-4003N-NOSR;KAVNIK;KAVNIK;;2022-01;2022-01;PE-PP;45;20;
252;P22-030;A-XS-AC;A-45-XS-AC-TB-RF-HF-MSC-2-CE-400-50Hz-3N-SR;BLASFOILE ;BLASFOILE ;;2022-01;2022-01;PE-PP;45;20;
269;P22-059;A-XS-AC;A-45-XS-AC-TB-RF-HF-MSC-2-CE-400-50Hz-3N-SR;WILTON;WILTON;;2023-01;2023-01;PE-PP;45;20;
37;P19-047;A-S-AC;A-60-AC;Bandera;Bandera;;2019-01;2019-01;PE-PP;75;25;
60;P19-073;A-S-AC;A-60-AC;BKC;BKC;;2020-01;2020-01;PE-PP;75;25;
61;P19-073;A-S-AC;A-60-AC;BKC;BKC;;2020-01;2020-01;PE-PP;75;25;
4;P19-001;A-S-AC;A-60-AC;Zocchi;Zocchi;;2019-01;2019-01;PE-PP;75;25;
22;P19-038;A-S-AC;A-60-AC;Pure Loop;Pure Loop;;2019-01;2019-01;PE-PP;75;25;
107;P20-036;A-S-AC;A-60-AC-MSC;Plasmac;Plasmac;;2020-01;2020-01;PE-PP;75;25;
135;P21-018;A-S-AC;A-60-AC-RF-TB-0-MCF-B&R-CE-4003N-NOSR;Bandera;Bandera;;2021-01;2021-01;PE-PP;75;25;
157;P21-031;A-S-AC;A-60-AC-RF-TB-CE-400-3N;SDR PACK;SDR PACK;;2021-01;2021-01;PE-PP;75;25;
138;P21-019;A-S-AC;A-60-AC-RF-TB-HF-0-MCF-B&R-CE-4003N-NOSR;Stolko;Stolko;;2021-01;2021-01;PE-PP;75;25;
129;P21-005;A-S-AC;A-60-AC-RFTB-MCF-CE-SR;Reifenhauser Singapore;Reifenhauser Singapore;;2021-01;2021-01;PE-PP;75;25;
72;P20-010;A-S-AC;A-60-AC-RF-TB-MSC;Maguire ;Maguire ;;2020-01;2020-01;PE-PP;75;25;
82;P20-014;A-S-AC;A-60-AC-RF-TB-MSC;POLYPLEX (THAILAND) PUBLIC CO. LTD.;POLYPLEX (THAILAND) PUBLIC CO. LTD.;;2020-01;2020-01;PE-PP;75;25;
189;P22-031;A-S-AC;A-60-AC-RF-TB-MSC-CE-2-400-50-3N-NOSR;Plasmac;Plasmac;;2022-01;2022-01;PE-PP;75;25;
190;P22-011;A-S-AC;A-60-AC-RF-TB-MSC-CE-2-400-50-3N-NOSR;Plasmac;Plasmac;;2022-01;2022-01;PE-PP;75;25;
191;P22-048;A-S-AC;A-60-AC-RF-TB-MSC-CE-2-400-50-3N-SR;ANKATEKNIK PLASTIK / ASIR PLASTIC;ANKATEKNIK PLASTIK / ASIR PLASTIC;;2022-01;2022-01;PE-PP;75;25;
166;P21-044;A-S-AC;A-60-AC-RF-TB-MSC-CE-400-50-3N-SR;ANKATEKNIK PLASTIK / GUVEN;ANKATEKNIK PLASTIK / GUVEN;;2022-01;2022-01;PE-PP;75;25;
187;P21-058;A-S-AC;A-60-AC-RF-TB-MSC-CE-400-50-3N-SR;VERDE FLEXIBLES;VERDE FLEXIBLES;;2022-01;2022-01;PE-PP;75;25;
132;P21-011;A-S-AC;A-60-AC-TB-CE-400-3N-SR;RKW Castelletta;RKW Castelletta;;2021-01;2021-01;PE-PP;75;25;
185;P21-037;A-S-PLUS;A-60-ECO-AC-RF-TB(large)-MSC-CE-400-3N;SI.SAC. SPA;SI.SAC. SPA;;2022-01;2022-01;PE-PP;90;33;
149;P21-028;A-S-PLUS;A-60-ECO-AC-TB-CE-400-3N;ACZ;ACZ;;2021-01;2021-01;PE-PP;90;33;
150;P21-028;A-S-PLUS;A-60-ECO-AC-TB-CE-400-3N;ACZ;ACZ;;2021-01;2021-01;PE-PP;90;33;
151;P21-028;A-S-PLUS;A-60-ECO-AC-TB-CE-400-3N;ACZ;ACZ;;2021-01;2021-01;PE-PP;90;33;
99;P20-029;A-S-PLUS;A-60-ECO-RF-TB;GRUPO ROJAS;GRUPO ROJAS;;2020-01;2020-01;PE-PP;90;33;
32;P19-102;A-S-PLUS;A-60-ECO-RF-MSC;Gentoflex;Gentoflex;;2020-01;2020-01;PE-PP;90;33;
33;P19-103;A-S-PLUS;A-60-ECO-RF-MSC;Technic Gravure;Technic Gravure;;2020-01;2020-01;PE-PP;90;33;
56;P19-069;A-S-PLUS;A-60-ECO-RF-MSC;MIMA Packaging systems / Crop Packaging / SPG PACKAGING IRELAND;MIMA Packaging systems / Crop Packaging / SPG PACKAGING IRELAND;;2020-01;2020-01;PE-PP;90;33;
88;P20-025;A-S-PLUS;A-60-ECO-RF-TB-MSC;NAN FOLIE;NAN FOLIE;;2020-01;2020-01;PE-PP;90;33;
137;P21-007;A-S-HC;A-60-HC-FF-0-MCF-B&R-CE-4003N-NOSR;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;75;25;
63;P19-067;A-S-HC;A-60-HC-RF;Foshan;Foshan;;2020-01;2020-01;PE-PP;75;25;
165;P21-034;A-S-HC;A-60-HC-RF-TB-MCF-B&R-CE-480V-60Hz-3N;SY USA;SY USA;;2021-01;2021-01;PE-PP;75;25;
120;P21-001;A-S-HC;A-60-HC-RFTB-VC-CC-MCF-B&R-CE-4003N-SR;POLYPLEX EUROPA POLYESTER FILM SAN. VE TIC. A.S.;POLYPLEX EUROPA POLYESTER FILM SAN. VE TIC. A.S.;;2021-01;2021-01;PE-PP;75;25;
128;P21-004;A-S-HC;A-60-HC-TB-MCF-SIE-CE-4003N-NOSR;Bericap;Bericap;;2021-01;2021-01;PE-PP;75;25;
69;P20-005;A-M-AC;A-70-AC-RF-MCF;Plastigaur;Plastigaur;;2020-01;2020-01;PE-PP;130;47;
70;P20-009;A-M-AC;A-70-AC-RF-MCF;Plasbel;Plasbel;;2020-01;2020-01;PE-PP;130;47;
71;P19-106;A-M-AC;A-70-AC-RF-MSC-UL;Syncro USA / Berry Mountain Top;Syncro USA / Berry Mountain Top;;2020-01;2020-01;PE-PP;130;47;
198;P22-005;A-M-AC;A-70-AC-RF-TB-MCF(100)-CE-400-3N-NOSR;Plasmac srl;Plasmac srl;;2022-01;2022-01;PE-PP;130;47;
199;P22-006;A-M-AC;A-70-AC-RF-TB-MCF(100)-CE-400-3N-NOSR;SAMAPLAST SRL ( EX Plasmac srl);SAMAPLAST SRL ( EX Plasmac srl);;2022-01;2022-01;PE-PP;130;47;
195;P22-007;A-M-AC;A-70-AC-RF-TB-MCF-CE-480-3N-SR;Syncro USA /Berry Mountain Top;Syncro USA /Berry Mountain Top;;2022-01;2022-01;PE-PP;130;47;
196;P22-008;A-M-AC;A-70-AC-RF-TB-MCF-CE-480-3N-SR;Syncro USA /Berry Mountain Top;Syncro USA /Berry Mountain Top;;2022-01;2022-01;PE-PP;130;47;
197;P22-009;A-M-AC;A-70-AC-RF-TB-MCF-CE-480-3N-SR;Syncro USA /Berry Mountain Top;Syncro USA /Berry Mountain Top;;2022-01;2022-01;PE-PP;130;47;
155;P21-039;A-M-AC;A-70-AC-RFTB-MSC-CE-400-3N;UK Extrusion - RPC Berry Leominster;UK Extrusion - RPC Berry Leominster;;2021-01;2021-01;PE-PP;130;47;
152;P21-029;A-M-AC;A-70-AC-RFTB-MSC-UKBA-400-3N;UK Extrusion - RPC Berry Leominster;UK Extrusion - RPC Berry Leominster;;2021-01;2021-01;PE-PP;130;47;
58;P19-059;A-M-AC;A-70-AC-RF;Midian / Rahil Foam PVT;Midian / Rahil Foam PVT;;2020-01;2020-01;PE-PP;130;47;
11;P19-002;A-M-AC;A-70-AC-RF-MSC;Zocchi;Zocchi;;2019-01;2019-01;PE-PP;130;47;
16;P19-011;A-M-AC;A-70-AC-RF-MSC;Alfaplas;Alfaplas;;2019-01;2019-01;PE-PP;130;47;
23;P19-039;A-M-AC;A-70-AC-RF-MSC;Macresac;Macresac;;2019-01;2019-01;PE-PP;130;47;
24;P19-039;A-M-AC;A-70-AC-RF-MSC;Macresac;Macresac;;2019-01;2019-01;PE-PP;130;47;
54;P19-104;A-M-AC;A-70-AC-RF-MSC;RPC Berry Leominster UK;RPC Berry Leominster UK;;2020-01;2020-01;PE-PP;130;47;
84;P20-019;A-M-AC;A-70-AC-TB;Vizelpas flexible films;Vizelpas flexible films;;2020-01;2020-01;PE-PP;130;47;
134;P20-019;A-M-AC;A-70-AC-TB;Vizelpas flexible films;Vizelpas flexible films;;2021-01;2021-01;PE-PP;130;47;
17;P19-032;A-M-HC;A-70-HC-FF-MSC;Calsonic / Marelli;Calsonic / Marelli;;2019-01;2019-01;PE-PP;130;47;
80;P20-008;A-M-HC;A-70-HC-MSC-FF;Gizeh / Martiplast;Gizeh / Martiplast;;2020-01;2020-01;PE-PP;130;47;
116;P20-041;A-M-HC;A-70-HC-RF-TB-MSC;Syncro USA;Syncro USA;;2021-01;2021-01;PE-PP;130;47;
117;P20-038;A-M-HC;A-70-HC-RF-TB-MSC;Syncro USA;Syncro USA;;2021-01;2021-01;PE-PP;130;47;
162;P21-035;A-M-HC;A-70-HC-RFTB-MSC-CE-480-3N;SY USA /ISOflex – Nashville, TN;SY USA /ISOflex – Nashville, TN;;2021-01;2021-01;PE-PP;130;47;
163;P21-036;A-M-HC;A-70-HC-RFTB-MSC-CE-480-3N;SY USA /ISOflex;SY USA /ISOflex;;2021-01;2021-01;PE-PP;130;47;
8;P19-003/P20-017;A-M-HC;A-70-HC-RF-MSC;Alpha Marathon;Alpha Marathon;;2019-01;2019-01;PE-PP;130;47;
160;P21-030;A-L-HC;A-80-AC-TB-B&R-CE-4003N-NOSR;RKW Petersaurach;RKW Petersaurach;;2021-01;2021-01;PE-PP;160;68;
118;P20-044;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Reko;Reko;;2021-01;2021-01;PE-PP;160;68;
131;P21-012;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Wedus chemical;Wedus chemical;;2021-01;2021-01;PE-PP;160;68;
159;P21-040;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Weener Plastics LTD;Weener Plastics LTD;;2021-01;2021-01;PE-PP;160;68;
169;P21-046;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;UK EXTRUSION - PLASTIPAK;UK EXTRUSION - PLASTIPAK;;2022-01;2022-01;PE-PP;160;68;
203;P22-021;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Heplast;Heplast;;2022-01;2022-01;PE-PP;160;68;
85;P20-020;A-L-HC;A-80-HC-RF-TB-MSC-UL;Syncro USA /Berry Chino;Syncro USA /Berry Chino;;2020-01;2020-01;PE-PP;160;68;
40;P19-068;A-S-PLUS;A-60-ECO;Trioplast France;Trioplast France;;2019-01;2019-01;PE-PP;90;33;
26;P19-072;A-S-PLUS;A-60-ECO-RF-MSC;Plasmac;Plasmac;;2019-01;2019-01;PE-PP;90;33;
39;P19-051;A-S-PLUS;A-60-ECO-RF-MSC;Plastigaur;Plastigaur;;2019-01;2019-01;PE-PP;90;33;
301;P23-022;A-L-HC;A-L-HC-MSC;RKW PETERSAURACH;RKW PETERSAURACH;;2023-01;2023-01;PE-PP;160;68;
328;P24-015;A-L-HC;A-L-HC-V-FF-MSC-400/50-3N;UKE - nmc;UKE - nmc;;2024-01;2024-01;PE-PP;160;68;
307;P23-018;A-M-AC;A-M-13-2N-N-0-M-W2C4F6C-0-B-S-NR-0;SYNCRO USA LLC / ISOFlex Packaging;SYNCRO USA LLC / ISOFlex Packaging;;2023-01;2023-01;PE-PP;130;47;
308;P23-018;A-M-AC;A-M-13-2N-N-0-M-W2C4F6C-0-B-S-NR-0;SYNCRO USA LLC / ISOFlex Packaging;SYNCRO USA LLC / ISOFlex Packaging;;2023-01;2023-01;PE-PP;130;47;
337;P24-021;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;
338;P24-022;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;
339;P24-023;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;
340;P24-024;A-M-HC;A-M-HC-RF-TB-MSC-CE-480/60-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;130;47;
263;P22-067;A-M-HC;A-M-HC-RF-TB-MSC-CE-480-60Hz-NOAB;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;;2023-01;2023-01;PE-PP;130;47;
264;P22-067;A-M-HC;A-M-HC-RF-TB-MSC-CE-480-60Hz-NOAB;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;Syncro USA / SOUTHERN FILM EXTRUDERS, INC.;;2023-01;2023-01;PE-PP;130;47;
265;P22-068;A-M-HC;A-M-HC-RF-TB-MSC-CE-480-60Hz-NOAB;Syncro USA / COASTAL FILMS OF FLORIDA;Syncro USA / COASTAL FILMS OF FLORIDA;;2023-01;2023-01;PE-PP;130;47;
234;P22-038;A-M-TB;A-M-TB-RF-HC-MSC-2-CE-4003N-SR;SY-USA / RKW USA;SY-USA / RKW USA;;2022-01;2022-01;PE-PP;130;47;
268;P23-011;A-S-AC;A-S-AC-RF-TB-MSC-CE-400/50-AB;UKE / Berry bpi - Bromborough;UKE / Berry bpi - Bromborough;;2023-01;2023-01;PE-PP;75;25;
355;P24-028;A-S-HC;A-S-HC-TB-MSC-2-CE-480/60-NOAB;EXTRUSION AUTOMATION;EXTRUSION AUTOMATION;;2024-01;2024-01;PE-PP;75;25;
356;P24-028;A-S-HC;A-S-HC-TB-MSC-2-CE-480/60-NOAB;EXTRUSION AUTOMATION;EXTRUSION AUTOMATION;;2024-01;2024-01;PE-PP;75;25;
349;P24-027;A-S-HC;A-S-HC-TB-MSC-CE-480/60Hz-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;75;25;
357;P24-032;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-2-CE-400/50-AB;UK EXTRUSION;UK EXTRUSION;;2024-01;2024-01;PE-PP;90;33;
262;P22-064;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-CE-400/50-AB;DANAFILMS;DANAFILMS;;2023-01;2023-01;PE-PP;90;33;
281;P22-064;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-CE-400/50-AB;DANAFILMS;DANAFILMS;;2023-01;2023-01;PE-PP;90;33;
